Input,Output
-100.00000000000000000000,0.00000000000000532907
-99.00000000000000000000,0.00000000000251887400
-98.00000000000000000000,0.00000000000000588418
-97.00000000000000000000,0.00000000000000510703
-96.00000000000000000000,0.00000000000014921397
-95.00000000000000000000,0.00000000000001765255
-94.00000000000000000000,0.00000000000000394129
-93.00000000000000000000,0.00000000000003597123
-92.00000000000000000000,0.00000000000000932587
-91.00000000000000000000,0.00000000000000316414
-90.00000000000000000000,0.00000000000002287059
-89.00000000000000000000,0.00000000000001532108
-88.00000000000000000000,0.00000000000000517641
-87.00000000000000000000,0.00000000000000976996
-86.00000000000000000000,0.00000000000002264855
-85.00000000000000000000,0.00000000000000363598
-84.00000000000000000000,0.00000000000000599520
-83.00000000000000000000,0.00000000000000532907
-82.00000000000000000000,0.00000000000000155431
-81.00000000000000000000,0.00000000000000521805
-80.00000000000000000000,0.00000000000026822988
-79.00000000000000000000,0.00000000000000388578
-78.00000000000000000000,0.00000000000000444089
-77.00000000000000000000,0.00000000000414956958
-76.00000000000000000000,0.00000000000000477396
-75.00000000000000000000,0.00000000000000349720
-74.00000000000000000000,0.00000000000009947598
-73.00000000000000000000,0.00000000000000599520
-72.00000000000000000000,0.00000000000000294209
-71.00000000000000000000,0.00000000000002486900
-70.00000000000000000000,0.00000000000001176836
-69.00000000000000000000,0.00000000000000272005
-68.00000000000000000000,0.00000000000001465494
-67.00000000000000000000,0.00000000000000999201
-66.00000000000000000000,0.00000000000000259515
-65.00000000000000000000,0.00000000000000821565
-64.00000000000000000000,0.00000000000000799361
-63.00000000000000000000,0.00000000000000072164
-62.00000000000000000000,0.00000000000000555112
-61.00000000000000000000,0.00000000000003819167
-60.00000000000000000000,0.00000000000000244249
-59.00000000000000000000,0.00000000000000321965
-58.00000000000000000000,0.00000000000031619152
-57.00000000000000000000,0.00000000000000061062
-56.00000000000000000000,0.00000000000000299760
-55.00000000000000000000,0.00000000000447641924
-54.00000000000000000000,0.00000000000000310862
-53.00000000000000000000,0.00000000000000199840
-52.00000000000000000000,0.00000000000008881784
-51.00000000000000000000,0.00000000000000754952
-50.00000000000000000000,0.00000000000000216493
-49.00000000000000000000,0.00000000000002264855
-48.00000000000000000000,0.00000000000000444089
-47.00000000000000000000,0.00000000000000158207
-46.00000000000000000000,0.00000000000000799361
-45.00000000000000000000,0.00000000000001154632
-44.00000000000000000000,0.00000000000000865280
-43.00000000000000000000,0.00000000000000555112
-42.00000000000000000000,0.00000000000000976996
-41.00000000000000000000,0.00000000000000166533
-40.00000000000000000000,0.00000000000000444089
-39.00000000000000000000,0.00000000000003108624
-38.00000000000000000000,0.00000000000000538458
-37.00000000000000000000,0.00000000000000255351
-36.00000000000000000000,0.00000000000008792966
-35.00000000000000000000,0.00000000000000160982
-34.00000000000000000000,0.00000000000000244249
-33.00000000000000000000,0.00000000000828492830
-32.00000000000000000000,0.00000000000000044409
-31.00000000000000000000,0.00000000000000149880
-30.00000000000000000000,0.00000000000004884981
-29.00000000000000000000,0.00000000000000177636
-28.00000000000000000000,0.00000000000000133227
-27.00000000000000000000,0.00000000000000621725
-26.00000000000000000000,0.00000000000000310862
-25.00000000000000000000,0.00000000000000099920
